Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00380985203184991","0,00814825726353621","-0,00233105284996782",0,0,0,"0,235167059677118","0,000136829619935939","-2,11717002823901E-22","2,29413373012754E-22","0,000183424841060507","6,10739134785518E-23","0,000136829619935939",0,0,0,0,0,0,package://Basic arm assembly/meshes/base_link.STL,0,1,0,1,0,0,0,0,0,0,package://Basic arm assembly/meshes/base_link.STL,,Base of arm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,"-0,000564703412767111","0,00737909547213431","2,12990605447734E-05",0,0,0,"0,00763628922233268","2,33561396329846E-06","-2,86200073716274E-09","1,13462915563342E-08","3,27744113916437E-06","1,03753300000382E-09","2,56532477145443E-06",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_1.STL,0,"0,752941176470588",0,1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_1.STL,,Servo 1-2 fastener-1,Origin_Joint_0,Axis_Joint_0,Joint_0,revolute,"-0,0038099","0,0023311","0,03214","1,5708",0,0,base_link,0,1,0,0,0,0,"3,1416",,,,,,,,
Link_2,"-0,0322108471620749","1,37806432931598E-14","0,000505950653121921",0,0,0,"0,0582101880777064","1,1566515603708E-05","1,67530866170466E-17","-6,40659875575069E-21","5,07366498014865E-05","6,30185970034557E-22","4,52624130488437E-05",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_2.STL,"0,501960784313725",1,"0,501960784313725",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_2.STL,,Simplefied arm double male-1,Origin_Joint_1,Axis_Joint_1,Joint_1,revolute,0,"0,027",0,"3,1416","1,5708",0,Link_1,0,0,1,0,0,"-3,1416",0,,,,,,,,
Link_3,"-0,0322108471620749","3,09613445992341E-14","0,000505950653121706",0,0,0,"0,0582101880777064","1,1566515603708E-05","3,76303174409481E-17","2,01141229106755E-20","5,07366498014865E-05","1,28124924770971E-21","4,52624130488437E-05",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_3.STL,"0,501960784313725",1,"0,501960784313725",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_3.STL,,Simplefied arm double male-2,Origin_Joint_2,Axis_Joint_2,Joint_2,revolute,"-0,084",0,0,0,0,"-1,5708",Link_2,0,0,1,0,0,"-3,1416",0,,,,,,,,
Link 4,"-0,0308954859836362","-9,54258413213629E-06","-0,0005059506531217",0,0,0,"0,0622222455818236","7,31957022846746E-06","-2,29218553278415E-08","-9,99609948842174E-20","4,50564685467085E-05","3,73625221984056E-22","4,4213826685387E-05",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link 4.STL,"0,501960784313725",1,"0,501960784313725",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link 4.STL,,Simplefied arm double male-3,Origin_Joint_3,Axis_Joint_3,Joint_3,revolute,"-0,084",0,0,"3,1416",0,"-1,5708",Link_3,0,0,1,1,1,0,"3,1416",,,,,,,,
Link_5,"1,17510168262669E-14","0,0202884230751128","0,0131503380736347",0,0,0,"0,0571211482462945","1,56137488364131E-05","-1,17883163456157E-18","4,66982167838852E-18","1,80777649140427E-05","-1,93269805506753E-06","2,32777584956804E-05",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_5.STL,,Gripper base-1,Origin_Joint_4,Axis_Joint_4,Joint_4,revolute,"-0,0755",0,"-0,00050595","1,5708","1,5621","1,5708",Link 4,0,0,1,0,0,"-1,5621","1,5795",,,,,,,,
Link_gripper_right_base,"0,00610868503662098","0,168993636391325","6,06430163102162E-05",0,0,0,"0,00118076821825667","2,7316068941324E-08","-6,1115024132591E-22","3,53816603561634E-11","1,84200009668776E-07","-2,3951702751801E-21","1,57671119539623E-07",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_base.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_base.STL,,Grip base-2,Origin_Joint_gripper_right_base,,Joint_gripper_right_base,fixed,"0,0125",0,"0,015","3,1416","0,042855",0,Link_5,0,0,0,,,,,,,,,,,,
Link_gripper_right_end,"-0,00468697734735113","0,168343695782762","0,00669160531609816",0,0,0,"0,000652163637398932","2,34523770944788E-08","1,73746608497845E-10","5,13033003198838E-08","1,66519931118194E-07","1,14499464590631E-11","1,435051069775E-07",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_end.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_end.STL,,Grip end-2,Origin_Joint_gripper_right_end,,Joint_gripper_right_end,fixed,"0,019788","0,17199","-0,017921","-3,1416","-1,1179",0,Link_gripper_right_base,0,0,0,,,,,,,,,,,,
Link_gripper_right_support,"0,0167959834080883","0,168654050736","-0,167996890001364",0,0,0,"0,000236858407346411","4,13593831831108E-10","3,10899104660179E-10","5,21524484083866E-15","1,82661859085473E-08","8,19040580389625E-15","1,80213228840835E-08",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_support.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_support.STL,,Grip support-2,Origin_Joint_gripper_right_support,Axis_Joint_gripper_right_support,Joint_gripper_right_support,revolute,"0,0044993","-7,8331E-05","0,032","3,1416","-0,0019006","-0,017408",Link_5,0,1,0,0,0,"-1,5689","0,0019006",,,,,,,,
Link_gripper_right_support_end,"0,148911374531962","0,000350024932742193","-0,0616624819723988",0,0,0,"0,000652163637398935","2,34815415754439E-08","1,72999659155749E-10","5,13374061207313E-08","1,66519932645771E-07","1,16789359519553E-11","1,43475940968959E-07",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_support_end.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_right_support_end.STL,,Grip end-2,Origin_Joint_gripper_right_support_end,Axis_Joint_gripper_right_support_end,Joint_gripper_right_support_end,fixed,"0,0318459313577292","0,171392493122483","-0,16799679507084","-3,14150929553947","-1,16267898759699","-0,0174842629087696",Link_gripper_right_support,0,0,0,,,,,,,,,,,,
Link_gripper_left_base,"0,0112074867107235","0,170644277924422","0,0461751805143446",0,0,0,"0,00118076821825666","2,84923375296939E-08","2,71766094352569E-09","1,20757126367771E-08","1,84152558998179E-07","-2,32498447480159E-10","1,5654230162185E-07",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_base.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_base.STL,,Grip base-3,Origin_Joint_gripper_left_base,Axis_Joint_gripper_left_base,Joint_gripper_left_base,fixed,"-0,0139951551802364","-0,169775747076249","0,0150000000000947","-3,14159265358969","0,046735627045845","3,12418487107114",Link_5,0,0,0,,,,,,,,,,,,
Link_gripper_left_end,"0,0817397498326785","0,00634911586300868","0,0323250851710278",0,0,0,"0,000652163637398932","3,63813708270391E-08","-1,0951849728846E-10","-6,3380051560476E-08","1,66519932645771E-07","-1,34428339276265E-10","1,30576111717363E-07",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_end.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_end.STL,,MirrorGrip end-3,Origin_Joint_gripper_left_end,Axis_Joint_gripper_left_end,Joint_gripper_left_end,fixed,"0,0264882202370043","0,173392493122449","0,0627740330934791","3,13930242587817","1,20779057576466","-0,0195297612363638",Link_gripper_left_base,0,0,0,,,,,,,,,,,,
Link_gripper_left_support,"0,00048758984452916","-0,000660414344889084","-0,248942505345365",0,0,0,"0,000236858407346411","4,13848282911545E-10","-3,10896889717982E-10","-6,69346021370814E-11","1,82661859085473E-08","-1,17358822229113E-12","1,80210684330031E-08",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_support.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_support.STL,,Grip support-3,Origin_Joint_gripper_left_support,Axis_Joint_gripper_left_support,Joint_gripper_left_support,fixed,"-0,019497018435776","0,000339434143682142","0,0319714912166448",0,"0,0019005867120053","3,12418487107114",Link_5,0,0,0,,,,,,,,,,,,
Link_gripper_left_support_end,"-0,00526984664867214","0,00035002493270209","-0,00535056235281295",0,0,0,"0,000652163637398933","2,34523711030141E-08","1,72996332875409E-10","-5,1303295439662E-08","1,66519932645771E-07","-1,17281020174843E-11","1,43505111441388E-07",0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_support_end.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Basic arm assembly/meshes/Link_gripper_left_support_end.STL,,MirrorGrip end-3,Origin_Joint_gripper_left_support_end,Axis_Joint_gripper_left_support_end,Joint_gripper_left_support_end,fixed,"0,015537429427405","-0,0033988567313719","-0,248885392950767","-8,34128784352777E-05","-1,16296318744265","0,0174843226411675",Link_gripper_left_support,0,0,0,,,,,,,,,,,,
